________________________________________________________________________________
Marvellous Infosystems Process Logger : Thu Jun  6 22:04:52 2024
________________________________________________________________________________

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.08203125}
{'name': '', 'pid': 140, 'username': None, 'vms': 0.1796875}
{'name': 'Registry', 'pid': 176, 'username': None, 'vms': 12.5}
{'name': 'taskhostw.exe', 'pid': 268, 'username': 'MAHESH\\mahes', 'vms': 7.62109375}
{'name': 'smss.exe', 'pid': 640, 'username': None, 'vms': 1.09375}
{'name': 'csrss.exe', 'pid': 760, 'username': None, 'vms': 2.39453125}
{'name': 'svchost.exe', 'pid': 792, 'username': None, 'vms': 2.41015625}
{'name': 'wininit.exe', 'pid': 1108, 'username': None, 'vms': 1.46875}
{'name': 'csrss.exe', 'pid': 1128, 'username': None, 'vms': 3.00390625}
{'name': 'services.exe', 'pid': 1180, 'username': None, 'vms': 6.02734375}
{'name': 'LsaIso.exe', 'pid': 1200, 'username': None, 'vms': 1.1640625}
{'name': 'lsass.exe', 'pid': 1212, 'username': None, 'vms': 10.625}
{'name': 'dllhost.exe', 'pid': 1232, 'username': 'MAHESH\\mahes', 'vms': 2.0078125}
{'name': 'svchost.exe', 'pid': 1288, 'username': None, 'vms': 2.22265625}
{'name': 'svchost.exe', 'pid': 1328, 'username': None, 'vms': 12.015625}
{'name': 'fontdrvhost.exe', 'pid': 1360, 'username': None, 'vms': 1.8828125}
{'name': 'WUDFHost.exe', 'pid': 1408, 'username': None, 'vms': 7.11328125}
{'name': 'svchost.exe', 'pid': 1460, 'username': None, 'vms': 8.21875}
{'name': 'svchost.exe', 'pid': 1512, 'username': None, 'vms': 2.75}
{'name': 'winlogon.exe', 'pid': 1592, 'username': None, 'vms': 2.3359375}
{'name': 'WUDFHost.exe', 'pid': 1600, 'username': None, 'vms': 5.19921875}
{'name': 'ArmouryCrate.UserSessionHelper.exe', 'pid': 1676, 'username': 'MAHESH\\mahes', 'vms': 39.2734375}
{'name': 'fontdrvhost.exe', 'pid': 1680, 'username': None, 'vms': 4.2265625}
{'name': 'svchost.exe', 'pid': 1692, 'username': None, 'vms': 3.9921875}
{'name': 'dwm.exe', 'pid': 1776, 'username': None, 'vms': 140.625}
{'name': 'msedgewebview2.exe', 'pid': 1816, 'username': 'MAHESH\\mahes', 'vms': 77.5390625}
{'name': 'AsMonitorControl.exe', 'pid': 1820, 'username': 'MAHESH\\mahes', 'vms': 1.38671875}
{'name': 'svchost.exe', 'pid': 1840, 'username': None, 'vms': 1.125}
{'name': 'svchost.exe', 'pid': 1856, 'username': None, 'vms': 5.69921875}
{'name': 'FileCoAuth.exe', 'pid': 1884, 'username': 'MAHESH\\mahes', 'vms': 6.91796875}
{'name': 'svchost.exe', 'pid': 1948, 'username': None, 'vms': 2.8828125}
{'name': 'svchost.exe', 'pid': 1956, 'username': None, 'vms': 2.9453125}
{'name': 'svchost.exe', 'pid': 2016, 'username': None, 'vms': 6.96875}
{'name': 'svchost.exe', 'pid': 2028, 'username': None, 'vms': 5.9921875}
{'name': 'svchost.exe', 'pid': 2080, 'username': None, 'vms': 1.62890625}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 2088, 'username': None, 'vms': 1.21875}
{'name': 'svchost.exe', 'pid': 2120, 'username': None, 'vms': 2.73828125}
{'name': 'svchost.exe', 'pid': 2224, 'username': None, 'vms': 2.42578125}
{'name': 'svchost.exe', 'pid': 2232, 'username': None, 'vms': 5.37109375}
{'name': 'svchost.exe', 'pid': 2260, 'username': None, 'vms': 1.4765625}
{'name': 'svchost.exe', 'pid': 2280, 'username': None, 'vms': 2.00390625}
{'name': 'svchost.exe', 'pid': 2288, 'username': None, 'vms': 3.26171875}
{'name': 'svchost.exe', 'pid': 2324, 'username': None, 'vms': 2.51953125}
{'name': 'SecurityHealthService.exe', 'pid': 2364, 'username': None, 'vms': 6.9609375}
{'name': 'chrome.exe', 'pid': 2376, 'username': 'MAHESH\\mahes', 'vms': 248.38671875}
{'name': 'mc-fw-host.exe', 'pid': 2396, 'username': 'MAHESH\\mahes', 'vms': 6.65234375}
{'name': 'chrome.exe', 'pid': 2544, 'username': 'MAHESH\\mahes', 'vms': 38.0546875}
{'name': 'svchost.exe', 'pid': 2588, 'username': None, 'vms': 1.88671875}
{'name': 'svchost.exe', 'pid': 2600, 'username': None, 'vms': 3.3046875}
{'name': 'svchost.exe', 'pid': 2632, 'username': None, 'vms': 1.97265625}
{'name': 'WUDFHost.exe', 'pid': 2640, 'username': None, 'vms': 1.88671875}
{'name': 'WmiPrvSE.exe', 'pid': 2720, 'username': None, 'vms': 3.2109375}
{'name': 'conhost.exe', 'pid': 2732, 'username': 'MAHESH\\mahes', 'vms': 5.2421875}
{'name': 'igfxCUIServiceN.exe', 'pid': 2748, 'username': None, 'vms': 2.12890625}
{'name': 'svchost.exe', 'pid': 2772, 'username': None, 'vms': 1.96875}
{'name': 'svchost.exe', 'pid': 2784, 'username': None, 'vms': 3.578125}
{'name': 'igfxEMN.exe', 'pid': 2868, 'username': 'MAHESH\\mahes', 'vms': 3.59375}
{'name': 'svchost.exe', 'pid': 2896, 'username': 'MAHESH\\mahes', 'vms': 9.3828125}
{'name': 'cmd.exe', 'pid': 3060, 'username': 'MAHESH\\mahes', 'vms': 1.89453125}
{'name': 'asus_framework.exe', 'pid': 3092, 'username': None, 'vms': 38.78515625}
{'name': 'NVDisplay.Container.exe', 'pid': 3104, 'username': None, 'vms': 7.70703125}
{'name': 'svchost.exe', 'pid': 3116, 'username': None, 'vms': 16.3984375}
{'name': 'AsusCertService.exe', 'pid': 3188, 'username': None, 'vms': 1.41796875}
{'name': 'svchost.exe', 'pid': 3196, 'username': None, 'vms': 21.06640625}
{'name': 'chrome.exe', 'pid': 3228, 'username': 'MAHESH\\mahes', 'vms': 94.125}
{'name': 'svchost.exe', 'pid': 3260, 'username': None, 'vms': 3.30859375}
{'name': 'svchost.exe', 'pid': 3268, 'username': None, 'vms': 1.2890625}
{'name': 'svchost.exe', 'pid': 3348, 'username': None, 'vms': 2.12109375}
{'name': 'svchost.exe', 'pid': 3360, 'username': None, 'vms': 1.8359375}
{'name': 'MemCompression', 'pid': 3372, 'username': None, 'vms': 0.66796875}
{'name': 'svchost.exe', 'pid': 3424, 'username': None, 'vms': 1.296875}
{'name': 'svchost.exe', 'pid': 3500, 'username': None, 'vms': 6.3359375}
{'name': 'svchost.exe', 'pid': 3656, 'username': None, 'vms': 3.66796875}
{'name': 'svchost.exe', 'pid': 3708, 'username': None, 'vms': 6.265625}
{'name': 'AsusOptimization.exe', 'pid': 3712, 'username': None, 'vms': 1.96875}
{'name': 'svchost.exe', 'pid': 3728, 'username': None, 'vms': 3.00390625}
{'name': 'svchost.exe', 'pid': 3736, 'username': None, 'vms': 1.4453125}
{'name': 'RtkAudUService64.exe', 'pid': 3800, 'username': 'MAHESH\\mahes', 'vms': 4.8359375}
{'name': 'chrome.exe', 'pid': 3892, 'username': 'MAHESH\\mahes', 'vms': 46.49609375}
{'name': 'TextInputHost.exe', 'pid': 3896, 'username': 'MAHESH\\mahes', 'vms': 54.89453125}
{'name': 'svchost.exe', 'pid': 3900, 'username': None, 'vms': 10.48828125}
{'name': 'asus_framework.exe', 'pid': 3928, 'username': None, 'vms': 14.0}
{'name': 'NVDisplay.Container.exe', 'pid': 3940, 'username': None, 'vms': 51.484375}
{'name': 'WhatsApp.exe', 'pid': 3972, 'username': 'MAHESH\\mahes', 'vms': 246.3984375}
{'name': 'svchost.exe', 'pid': 4008, 'username': None, 'vms': 2.1953125}
{'name': 'msedge.exe', 'pid': 4120, 'username': 'MAHESH\\mahes', 'vms': 14.109375}
{'name': 'wlanext.exe', 'pid': 4352, 'username': None, 'vms': 1.171875}
{'name': 'spoolsv.exe', 'pid': 4360, 'username': None, 'vms': 5.74609375}
{'name': 'svchost.exe', 'pid': 4376, 'username': 'MAHESH\\mahes', 'vms': 4.23046875}
{'name': 'conhost.exe', 'pid': 4380, 'username': None, 'vms': 5.09765625}
{'name': 'svchost.exe', 'pid': 4404, 'username': None, 'vms': 14.7421875}
{'name': 'svchost.exe', 'pid': 4492, 'username': None, 'vms': 1.90234375}
{'name': 'AsusAppService.exe', 'pid': 4664, 'username': None, 'vms': 4.87890625}
{'name': 'AuraWallpaperService.exe', 'pid': 4672, 'username': None, 'vms': 20.77734375}
{'name': 'AsusSwitch.exe', 'pid': 4680, 'username': None, 'vms': 1.7109375}
{'name': 'AnyDesk.exe', 'pid': 4688, 'username': None, 'vms': 28.5234375}
{'name': 'AsusSoftwareManager.exe', 'pid': 4696, 'username': None, 'vms': 9.0703125}
{'name': 'svchost.exe', 'pid': 4704, 'username': None, 'vms': 2.07421875}
{'name': 'svchost.exe', 'pid': 4712, 'username': None, 'vms': 25.421875}
{'name': 'AsusSystemDiagnosis.exe', 'pid': 4724, 'username': None, 'vms': 2.37890625}
{'name': 'svchost.exe', 'pid': 4736, 'username': None, 'vms': 14.83203125}
{'name': 'svchost.exe', 'pid': 4748, 'username': None, 'vms': 4.61328125}
{'name': 'AsusSystemAnalysis.exe', 'pid': 4756, 'username': None, 'vms': 4.10546875}
{'name': 'ArmouryCrate.Service.exe', 'pid': 4764, 'username': None, 'vms': 93.4296875}
{'name': 'svchost.exe', 'pid': 4780, 'username': 'MAHESH\\mahes', 'vms': 9.84765625}
{'name': 'OfficeClickToRun.exe', 'pid': 4792, 'username': None, 'vms': 33.578125}
{'name': 'DtsApo4Service.exe', 'pid': 4800, 'username': None, 'vms': 18.4140625}
{'name': 'ArmouryCrateControlInterface.exe', 'pid': 4816, 'username': None, 'vms': 2.984375}
{'name': 'AsusOptimizationStartupTask.exe', 'pid': 4848, 'username': 'MAHESH\\mahes', 'vms': 3.0625}
{'name': 'GameSDK.exe', 'pid': 4896, 'username': None, 'vms': 1.7265625}
{'name': 'esif_uf.exe', 'pid': 4916, 'username': None, 'vms': 1.75390625}
{'name': 'uihost.exe', 'pid': 4948, 'username': 'MAHESH\\mahes', 'vms': 12.26953125}
{'name': 'svchost.exe', 'pid': 5012, 'username': None, 'vms': 3.609375}
{'name': 'svchost.exe', 'pid': 5024, 'username': None, 'vms': 2.6171875}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 5064, 'username': None, 'vms': 36.36328125}
{'name': 'IntelAudioService.exe', 'pid': 5080, 'username': None, 'vms': 39.1328125}
{'name': 'svchost.exe', 'pid': 5100, 'username': None, 'vms': 2.90234375}
{'name': 'LightingService.exe', 'pid': 5148, 'username': None, 'vms': 7.6484375}
{'name': 'mc-fw-host.exe', 'pid': 5156, 'username': None, 'vms': 229.91015625}
{'name': 'servicehost.exe', 'pid': 5228, 'username': None, 'vms': 21.56640625}
{'name': 'chrome.exe', 'pid': 5324, 'username': 'MAHESH\\mahes', 'vms': 130.2421875}
{'name': 'ROGLiveService.exe', 'pid': 5344, 'username': None, 'vms': 7.2109375}
{'name': 'RstMwService.exe', 'pid': 5352, 'username': None, 'vms': 2.125}
{'name': 'RtkAudUService64.exe', 'pid': 5372, 'username': None, 'vms': 5.19921875}
{'name': 'mongod.exe', 'pid': 5380, 'username': None, 'vms': 358.5390625}
{'name': 'svchost.exe', 'pid': 5400, 'username': None, 'vms': 2.40625}
{'name': 'svchost.exe', 'pid': 5408, 'username': None, 'vms': 2.94921875}
{'name': 'dasHost.exe', 'pid': 5436, 'username': None, 'vms': 2.609375}
{'name': 'chrome.exe', 'pid': 5452, 'username': 'MAHESH\\mahes', 'vms': 105.58203125}
{'name': 'TbtP2pShortcutService.exe', 'pid': 5476, 'username': None, 'vms': 1.28515625}
{'name': 'AcPowerNotification.exe', 'pid': 5540, 'username': 'MAHESH\\mahes', 'vms': 37.50390625}
{'name': 'svchost.exe', 'pid': 5560, 'username': None, 'vms': 4.3203125}
{'name': 'WMIRegistrationService.exe', 'pid': 5572, 'username': None, 'vms': 2.8203125}
{'name': 'svchost.exe', 'pid': 5604, 'username': None, 'vms': 1.27734375}
{'name': 'jhi_service.exe', 'pid': 5716, 'username': None, 'vms': 1.29296875}
{'name': 'ArmourySocketServer.exe', 'pid': 5736, 'username': 'MAHESH\\mahes', 'vms': 3.66796875}
{'name': 'ShellExperienceHost.exe', 'pid': 5860, 'username': 'MAHESH\\mahes', 'vms': 58.44921875}
{'name': 'dasHost.exe', 'pid': 6028, 'username': None, 'vms': 1.0}
{'name': 'powershell.exe', 'pid': 6188, 'username': 'MAHESH\\mahes', 'vms': 49.328125}
{'name': 'TrustedInstaller.exe', 'pid': 6244, 'username': None, 'vms': 2.11328125}
{'name': 'svchost.exe', 'pid': 6516, 'username': None, 'vms': 3.37109375}
{'name': 'RuntimeBroker.exe', 'pid': 6600, 'username': 'MAHESH\\mahes', 'vms': 6.51171875}
{'name': 'SearchProtocolHost.exe', 'pid': 6712, 'username': 'MAHESH\\mahes', 'vms': 2.04296875}
{'name': 'SearchIndexer.exe', 'pid': 6892, 'username': None, 'vms': 33.55859375}
{'name': 'SystemSettings.exe', 'pid': 7012, 'username': 'MAHESH\\mahes', 'vms': 125.74609375}
{'name': 'svchost.exe', 'pid': 7364, 'username': None, 'vms': 2.3828125}
{'name': 'sihost.exe', 'pid': 7400, 'username': 'MAHESH\\mahes', 'vms': 6.8046875}
{'name': 'ACCIMonitor.exe', 'pid': 7524, 'username': 'MAHESH\\mahes', 'vms': 2.0859375}
{'name': 'AsHotplugCtrl.exe', 'pid': 7556, 'username': 'MAHESH\\mahes', 'vms': 1.36328125}
{'name': 'svchost.exe', 'pid': 7748, 'username': None, 'vms': 2.0}
{'name': 'svchost.exe', 'pid': 7764, 'username': None, 'vms': 27.2734375}
{'name': 'svchost.exe', 'pid': 8000, 'username': None, 'vms': 2.64453125}
{'name': 'audiodg.exe', 'pid': 8208, 'username': None, 'vms': 9.90625}
{'name': 'svchost.exe', 'pid': 8344, 'username': None, 'vms': 1.23828125}
{'name': 'svchost.exe', 'pid': 8484, 'username': 'MAHESH\\mahes', 'vms': 2.04296875}
{'name': 'svchost.exe', 'pid': 8784, 'username': None, 'vms': 1.5625}
{'name': 'mc-neo-host.exe', 'pid': 9144, 'username': None, 'vms': 19.0859375}
{'name': 'AggregatorHost.exe', 'pid': 9156, 'username': None, 'vms': 1.5234375}
{'name': 'unsecapp.exe', 'pid': 9316, 'username': None, 'vms': 1.44140625}
{'name': 'svchost.exe', 'pid': 9340, 'username': None, 'vms': 5.34375}
{'name': 'svchost.exe', 'pid': 9456, 'username': None, 'vms': 3.6953125}
